C1016_genome	#0A11C8	307
C1069_genome	#048B52	258
C1122_genome	#0A11C8	307
C1151_genome	#0A11C8	307
C234_genome	#0A11C8	307
C235_genome	#048B52	258
C236_genome	#0A11C8	307
C237_genome	#0A11C8	307
C239_genome	#0A11C8	307
C240_genome	#D33337	244
C241_genome	#048B52	258
C242_genome	#0A11C8	307
C244_genome	#048B52	258
C246_genome	#0A11C8	307
C248_genome	#0A11C8	307
C249_genome	#0A11C8	307
C250_genome	#204952	834
C251_genome	#0A11C8	307
C252_genome	#0A11C8	307
C253_genome	#048B52	258
C258_genome	#0A11C8	307
C259_genome	#65AF65	16
C260_genome	#0A11C8	307
C262_genome	#048B52	258
C265_genome	#048B52	258
C267_genome	#30FF5E	15
C268_genome	#048B52	258
C269_genome	#0A11C8	307
C272_genome	#0A11C8	307
C274_genome	#0A11C8	307
C276_genome	#0A11C8	307
C277_genome	#DFBFF7	273
C278_genome	#048B52	258
C280_genome	#F6B432	43
C282_genome	#4B9E7F	551
C288_genome	#048B52	258
C289_genome	#0A11C8	307
C291_genome	#0A11C8	307
C293_genome	#048B52	258
C294_genome	#0A11C8	307
C295_genome	#048B52	258
C296_genome	#0A11C8	307
C299_genome	#0A11C8	307
C301_genome	#048B52	258
C305_genome	#048B52	258
C308_genome	#177484	23
C309_genome	#0A11C8	307
C310_genome	#048B52	258
C314_genome	#0A11C8	307
C315_genome	#048B52	258
C317_genome	#0A11C8	307
C320_genome	#048B52	258
C327_genome	#962466	0
C331_genome	#0A11C8	307
C335_genome	#048B52	258
C336_genome	#048B52	258
C337_genome	#0A11C8	307
C338_genome	#048B52	258
C342_genome	#048B52	258
C343_genome	#65AF65	16
C344_genome	#048B52	258
C346_genome	#1AD980	231
C349_genome	#6A4472	147
C4688_genome	#048B52	258
C4689_genome	#0A11C8	307
C4690_genome	#048B52	258
C4691_genome	#0A11C8	307
C4692_genome	#048B52	258
C4693_genome	#0A11C8	307
C4694_genome	#0A11C8	307
C4695_genome	#0A11C8	307
C4697_genome	#048B52	258
C4698_genome	#0A11C8	307
C4699_genome	#048B52	258
C584_genome	#0A11C8	307
C585_genome	#A4BF2F	392
C586_genome	#048B52	258
C587_genome	#048B52	258
C588_genome	#048B52	258
C590_genome	#0A11C8	307
C591_genome	#048B52	258
C592_genome	#048B52	258
C593_genome	#048B52	258
C595_genome	#0A11C8	307
C596_genome	#0A11C8	307
C597_genome	#048B52	258
C601_genome	#048B52	258
C603_genome	#30FF5E	15
C604_genome	#0A11C8	307
C606_genome	#30FF5E	15
C608_genome	#048B52	258
C678_genome	#0A11C8	307
C680_genome	#048B52	258
C682_genome	#0A11C8	307
C684_genome	#7CF995	22
C685_genome	#6A4472	147
C686_genome	#97CDFD	111
C687_genome	#048B52	258
C691_genome	#048B52	258
C692_genome	#0A11C8	307
C696_genome	#7AD9FB	17
C699_genome	#048B52	258
C703_genome	#048B52	258
C706_genome	#30FF5E	15
C708_genome	#30FF5E	15
C711_genome	#0A11C8	307
C714_genome	#A45D44	37
C717_genome	#048B52	258
C719_genome	#962466	0
C720_genome	#048B52	258
C739_genome	#048B52	258
C752_genome	#048B52	258
C763_genome	#0A11C8	307
C767_genome	#048B52	258
C862_genome	#0A11C8	307
C872_genome	#048B52	258
C877_genome	#048B52	258
C957_genome	#0A11C8	307
C962_genome	#048B52	258
